xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
3. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
4. SanDisk [URL:https://xueqiu.com/s/SNDK]
5. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
6. 腾讯控股 [URL:https://xueqiu.com/s/00700]
7. 美光科技 [URL:https://xueqiu.com/s/MU]
8. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
9. 哔哩哔哩 [URL:https://xueqiu.com/s/BILI]
10. 中芯国际 [URL:https://xueqiu.com/s/SH688981]
11. 上海电力 [URL:https://xueqiu.com/s/SH600021]
12. 平潭发展 [URL:https://xueqiu.com/s/SZ000592]
13. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
14. 华盛锂电 [URL:https://xueqiu.com/s/SH688353]
15. 天际股份 [URL:https://xueqiu.com/s/SZ002759]
16. 苹果 [URL:https://xueqiu.com/s/AAPL]
17. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
18. 江波龙 [URL:https://xueqiu.com/s/SZ301308]
19. AMD [URL:https://xueqiu.com/s/AMD]
20. 阿特斯 [URL:https://xueqiu.com/s/SH688472]
21. 阳光电源 [URL:https://xueqiu.com/s/SZ300274]
22. 天赐材料 [URL:https://xueqiu.com/s/SZ002709]
23. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
24. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
25. 合富中国 [URL:https://xueqiu.com/s/SH603122]
26. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
27. 兆易创新 [URL:https://xueqiu.com/s/SH603986]
28. 淳中科技 [URL:https://xueqiu.com/s/SH603516]
29. 孚日股份 [URL:https://xueqiu.com/s/SZ002083]
30. Meta [URL:https://xueqiu.com/s/META]

