xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
3. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
4. SanDisk [URL:https://xueqiu.com/s/SNDK]
5. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
6. 小米集团-W [URL:https://xueqiu.com/s/01810]
7. 谷歌C [URL:https://xueqiu.com/s/GOOG]
8. 美光科技 [URL:https://xueqiu.com/s/MU]
9. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
10. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
11. 摩尔线程 [URL:https://xueqiu.com/s/SH688795]
12. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
13. 九牧王 [URL:https://xueqiu.com/s/SH601566]
14. 苹果 [URL:https://xueqiu.com/s/AAPL]
15. 东芯股份 [URL:https://xueqiu.com/s/SH688110]
16. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
17. 赛力斯 [URL:https://xueqiu.com/s/SH601127]
18. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
19. 拼多多 [URL:https://xueqiu.com/s/PDD]
20. 腾景科技 [URL:https://xueqiu.com/s/SH688195]
21. 上海电力 [URL:https://xueqiu.com/s/SH600021]
22. 合富中国 [URL:https://xueqiu.com/s/SH603122]
23. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
24. 航天发展 [URL:https://xueqiu.com/s/SZ000547]
25. 泡泡玛特 [URL:https://xueqiu.com/s/09992]
26. 盛新锂能 [URL:https://xueqiu.com/s/SZ002240]
27. 博通 [URL:https://xueqiu.com/s/AVGO]
28. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
29. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
30. Meta [URL:https://xueqiu.com/s/META]

