xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. SanDisk [URL:https://xueqiu.com/s/SNDK]
3. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
4. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
5. 美光科技 [URL:https://xueqiu.com/s/MU]
6. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
7. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
8. 小米集团-W [URL:https://xueqiu.com/s/01810]
9. 谷歌C [URL:https://xueqiu.com/s/GOOG]
10. AMD [URL:https://xueqiu.com/s/AMD]
11. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
12. 拼多多 [URL:https://xueqiu.com/s/PDD]
13. 苹果 [URL:https://xueqiu.com/s/AAPL]
14. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
15. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
16. Vor Biopharma [URL:https://xueqiu.com/s/VOR]
17. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
18. Circle [URL:https://xueqiu.com/s/CRCL]
19. Meta [URL:https://xueqiu.com/s/META]
20. 赛力斯 [URL:https://xueqiu.com/s/SH601127]
21. 蔚来 [URL:https://xueqiu.com/s/NIO]
22. 纳指100ETF-Invesco [URL:https://xueqiu.com/s/QQQ]
23. 东芯股份 [URL:https://xueqiu.com/s/SH688110]
24. 微软 [URL:https://xueqiu.com/s/MSFT]
25. 九牧王 [URL:https://xueqiu.com/s/SH601566]
26. 上海电力 [URL:https://xueqiu.com/s/SH600021]
27. 合富中国 [URL:https://xueqiu.com/s/SH603122]
28. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
29. 盛新锂能 [URL:https://xueqiu.com/s/SZ002240]
30. 理想汽车 [URL:https://xueqiu.com/s/LI]

