xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 拼多多 [URL:https://xueqiu.com/s/PDD]
3. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
4. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
5. 小米集团-W [URL:https://xueqiu.com/s/01810]
6. SanDisk [URL:https://xueqiu.com/s/SNDK]
7. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
8. 百度 [URL:https://xueqiu.com/s/BIDU]
9. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
10. 美光科技 [URL:https://xueqiu.com/s/MU]
11. Meta [URL:https://xueqiu.com/s/META]
12. 上海电力 [URL:https://xueqiu.com/s/SH600021]
13. 孚日股份 [URL:https://xueqiu.com/s/SZ002083]
14. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
15. AMD [URL:https://xueqiu.com/s/AMD]
16. 东芯股份 [URL:https://xueqiu.com/s/SH688110]
17. 谷歌C [URL:https://xueqiu.com/s/GOOG]
18. 微软 [URL:https://xueqiu.com/s/MSFT]
19. 亚马逊 [URL:https://xueqiu.com/s/AMZN]
20. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
21. Nebius Group [URL:https://xueqiu.com/s/NBIS]
22. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
23. 阳光电源 [URL:https://xueqiu.com/s/SZ300274]
24. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
25. 中矿资源 [URL:https://xueqiu.com/s/SZ002738]
26. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
27. 腾讯控股 [URL:https://xueqiu.com/s/00700]
28. 华胜天成 [URL:https://xueqiu.com/s/SH600410]
29. 苹果 [URL:https://xueqiu.com/s/AAPL]
30. 美国雅保 [URL:https://xueqiu.com/s/ALB]

