xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 拼多多 [URL:https://xueqiu.com/s/PDD]
3. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
4. 小米集团-W [URL:https://xueqiu.com/s/01810]
5. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
6. SanDisk [URL:https://xueqiu.com/s/SNDK]
7. 百度 [URL:https://xueqiu.com/s/BIDU]
8. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
9. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
10. 美光科技 [URL:https://xueqiu.com/s/MU]
11. 孚日股份 [URL:https://xueqiu.com/s/SZ002083]
12. 携程 [URL:https://xueqiu.com/s/TCOM]
13. 东芯股份 [URL:https://xueqiu.com/s/SH688110]
14. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
15. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
16. 亚马逊 [URL:https://xueqiu.com/s/AMZN]
17. 上海电力 [URL:https://xueqiu.com/s/SH600021]
18. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
19. 微软 [URL:https://xueqiu.com/s/MSFT]
20. 中矿资源 [URL:https://xueqiu.com/s/SZ002738]
21. 阳光电源 [URL:https://xueqiu.com/s/SZ300274]
22. 腾讯控股 [URL:https://xueqiu.com/s/00700]
23. AMD [URL:https://xueqiu.com/s/AMD]
24. 华胜天成 [URL:https://xueqiu.com/s/SH600410]
25. 剑桥科技 [URL:https://xueqiu.com/s/SH603083]
26. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
27. 谷歌C [URL:https://xueqiu.com/s/GOOG]
28. 天赐材料 [URL:https://xueqiu.com/s/SZ002709]
29. 三六零 [URL:https://xueqiu.com/s/SH601360]
30. 众生药业 [URL:https://xueqiu.com/s/SZ002317]

