xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. AMD [URL:https://xueqiu.com/s/AMD]
3. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
4. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
5. SanDisk [URL:https://xueqiu.com/s/SNDK]
6. Circle [URL:https://xueqiu.com/s/CRCL]
7. 腾讯音乐 [URL:https://xueqiu.com/s/TME]
8. 上海电力 [URL:https://xueqiu.com/s/SH600021]
9. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
10. 天际股份 [URL:https://xueqiu.com/s/SZ002759]
11. 百济神州 [URL:https://xueqiu.com/s/ONC]
12. 阿特斯 [URL:https://xueqiu.com/s/SH688472]
13. Meta [URL:https://xueqiu.com/s/META]
14. 特变电工 [URL:https://xueqiu.com/s/SH600089]
15. 美光科技 [URL:https://xueqiu.com/s/MU]
16. 粤桂股份 [URL:https://xueqiu.com/s/SZ000833]
17. Vor Biopharma [URL:https://xueqiu.com/s/VOR]
18. 阳光电源 [URL:https://xueqiu.com/s/SZ300274]
19. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
20. 香农芯创 [URL:https://xueqiu.com/s/SZ300475]
21. 永太科技 [URL:https://xueqiu.com/s/SZ002326]
22. 海博思创 [URL:https://xueqiu.com/s/SH688411]
23. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
24. 海科新源 [URL:https://xueqiu.com/s/SZ301292]
25. 腾讯控股 [URL:https://xueqiu.com/s/00700]
26. 农业银行 [URL:https://xueqiu.com/s/SH601288]
27. Nebius Group [URL:https://xueqiu.com/s/NBIS]
28. 华盛锂电 [URL:https://xueqiu.com/s/SH688353]
29. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
30. 美国雅保 [URL:https://xueqiu.com/s/ALB]

