xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
3. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
4. AMD [URL:https://xueqiu.com/s/AMD]
5. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
6. 谷歌C [URL:https://xueqiu.com/s/GOOG]
7. Meta [URL:https://xueqiu.com/s/META]
8. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
9. 光库科技 [URL:https://xueqiu.com/s/SZ300620]
10. 美团-W [URL:https://xueqiu.com/s/03690]
11. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
12. 美国雅保 [URL:https://xueqiu.com/s/ALB]
13. SanDisk [URL:https://xueqiu.com/s/SNDK]
14. 摩尔线程 [URL:https://xueqiu.com/s/SH688795]
15. 博通 [URL:https://xueqiu.com/s/AVGO]
16. 苹果 [URL:https://xueqiu.com/s/AAPL]
17. 美光科技 [URL:https://xueqiu.com/s/MU]
18. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
19. 德科立 [URL:https://xueqiu.com/s/SH688205]
20. 小米集团-W [URL:https://xueqiu.com/s/01810]
21. 英维克 [URL:https://xueqiu.com/s/SZ002837]
22. 沪电股份 [URL:https://xueqiu.com/s/SZ002463]
23. 甲骨文 [URL:https://xueqiu.com/s/ORCL]
24. 易点天下 [URL:https://xueqiu.com/s/SZ301171]
25. 腾讯控股 [URL:https://xueqiu.com/s/00700]
26. 台积电 [URL:https://xueqiu.com/s/TSM]
27. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
28. 赛微电子 [URL:https://xueqiu.com/s/SZ300456]
29. 拼多多 [URL:https://xueqiu.com/s/PDD]
30. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]

