xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
3. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
4. AMD [URL:https://xueqiu.com/s/AMD]
5. 谷歌C [URL:https://xueqiu.com/s/GOOG]
6. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
7. Meta [URL:https://xueqiu.com/s/META]
8. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
9. 苹果 [URL:https://xueqiu.com/s/AAPL]
10. 光库科技 [URL:https://xueqiu.com/s/SZ300620]
11. 美团-W [URL:https://xueqiu.com/s/03690]
12. 台积电 [URL:https://xueqiu.com/s/TSM]
13. 摩尔线程 [URL:https://xueqiu.com/s/SH688795]
14. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
15. SanDisk [URL:https://xueqiu.com/s/SNDK]
16. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
17. 甲骨文 [URL:https://xueqiu.com/s/ORCL]
18. 德科立 [URL:https://xueqiu.com/s/SH688205]
19. 美国雅保 [URL:https://xueqiu.com/s/ALB]
20. 易点天下 [URL:https://xueqiu.com/s/SZ301171]
21. 拼多多 [URL:https://xueqiu.com/s/PDD]
22. 蔚来 [URL:https://xueqiu.com/s/NIO]
23. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
24. 小米集团-W [URL:https://xueqiu.com/s/01810]
25. 礼来 [URL:https://xueqiu.com/s/LLY]
26. 博通 [URL:https://xueqiu.com/s/AVGO]
27. 美光科技 [URL:https://xueqiu.com/s/MU]
28. 航天发展 [URL:https://xueqiu.com/s/SZ000547]
29. 赛微电子 [URL:https://xueqiu.com/s/SZ300456]
30. 腾景科技 [URL:https://xueqiu.com/s/SH688195]

