xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
3. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
4. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
5. 万科A [URL:https://xueqiu.com/s/SZ000002]
6. 东芯股份 [URL:https://xueqiu.com/s/SH688110]
7. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
8. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
9. 谷歌C [URL:https://xueqiu.com/s/GOOG]
10. 理想汽车 [URL:https://xueqiu.com/s/LI]
11. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
12. 天普股份 [URL:https://xueqiu.com/s/SH605255]
13. 赛微电子 [URL:https://xueqiu.com/s/SZ300456]
14. 光库科技 [URL:https://xueqiu.com/s/SZ300620]
15. 博通 [URL:https://xueqiu.com/s/AVGO]
16. 京东 [URL:https://xueqiu.com/s/JD]
17. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
18. Applovin [URL:https://xueqiu.com/s/APP]
19. AMD [URL:https://xueqiu.com/s/AMD]
20. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
21. 小米集团-W [URL:https://xueqiu.com/s/01810]
22. Circle [URL:https://xueqiu.com/s/CRCL]
23. SanDisk [URL:https://xueqiu.com/s/SNDK]
24. 拼多多 [URL:https://xueqiu.com/s/PDD]
25. 美光科技 [URL:https://xueqiu.com/s/MU]
26. 美团-W [URL:https://xueqiu.com/s/03690]
27. 易点天下 [URL:https://xueqiu.com/s/SZ301171]
28. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
29. 赛力斯 [URL:https://xueqiu.com/s/SH601127]
30. 腾景科技 [URL:https://xueqiu.com/s/SH688195]

