xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 麦格米特 [URL:https://xueqiu.com/s/SZ002851]
3. 中国中免 [URL:https://xueqiu.com/s/SH601888]
4. 香农芯创 [URL:https://xueqiu.com/s/SZ300475]
5. 淳中科技 [URL:https://xueqiu.com/s/SH603516]
6. Vor Biopharma [URL:https://xueqiu.com/s/VOR]
7. 赛力斯 [URL:https://xueqiu.com/s/SH601127]
8. 特变电工 [URL:https://xueqiu.com/s/SH600089]
9. 上海电力 [URL:https://xueqiu.com/s/SH600021]
10. 天际股份 [URL:https://xueqiu.com/s/SZ002759]
11. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
12. 平潭发展 [URL:https://xueqiu.com/s/SZ000592]
13. 合富中国 [URL:https://xueqiu.com/s/SH603122]
14. 阿特斯 [URL:https://xueqiu.com/s/SH688472]
15. 小米集团-W [URL:https://xueqiu.com/s/01810]
16. 阳光电源 [URL:https://xueqiu.com/s/SZ300274]
17. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
18. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
19. 福龙马 [URL:https://xueqiu.com/s/SH603686]
20. CoreWeave [URL:https://xueqiu.com/s/CRWV]
21. 贵州茅台 [URL:https://xueqiu.com/s/SH600519]
22. 上纬新材 [URL:https://xueqiu.com/s/SH688585]
23. 指南针 [URL:https://xueqiu.com/s/SZ300803]
24. 小鹏汽车-W [URL:https://xueqiu.com/s/09868]
25. 云天化 [URL:https://xueqiu.com/s/SH600096]
26. 江波龙 [URL:https://xueqiu.com/s/SZ301308]
27. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
28. 兆易创新 [URL:https://xueqiu.com/s/SH603986]
29. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
30. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]

