xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
3. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
4. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
5. 甲骨文 [URL:https://xueqiu.com/s/ORCL]
6. SanDisk [URL:https://xueqiu.com/s/SNDK]
7. 谷歌C [URL:https://xueqiu.com/s/GOOG]
8. 小米集团-W [URL:https://xueqiu.com/s/01810]
9. 礼来 [URL:https://xueqiu.com/s/LLY]
10. 苹果 [URL:https://xueqiu.com/s/AAPL]
11. Circle [URL:https://xueqiu.com/s/CRCL]
12. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
13. 美光科技 [URL:https://xueqiu.com/s/MU]
14. AMD [URL:https://xueqiu.com/s/AMD]
15. 易点天下 [URL:https://xueqiu.com/s/SZ301171]
16. PayPal [URL:https://xueqiu.com/s/PYPL]
17. 拼多多 [URL:https://xueqiu.com/s/PDD]
18. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
19. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
20. 上海电力 [URL:https://xueqiu.com/s/SH600021]
21. 赣锋锂业 [URL:https://xueqiu.com/s/SZ002460]
22. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
23. 美国雅保 [URL:https://xueqiu.com/s/ALB]
24. 铜陵有色 [URL:https://xueqiu.com/s/SZ000630]
25. 赛力斯 [URL:https://xueqiu.com/s/SH601127]
26. Vor Biopharma [URL:https://xueqiu.com/s/VOR]
27. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
28. 理想汽车 [URL:https://xueqiu.com/s/LI]
29. 富时中国3倍做多ETF [URL:https://xueqiu.com/s/YINN]
30. Meta [URL:https://xueqiu.com/s/META]

