xueqiu | 雪球
1. 英伟达 [URL:https://xueqiu.com/s/NVDA]
2. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
3. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
4. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
5. 甲骨文 [URL:https://xueqiu.com/s/ORCL]
6. SanDisk [URL:https://xueqiu.com/s/SNDK]
7. 谷歌C [URL:https://xueqiu.com/s/GOOG]
8. 美光科技 [URL:https://xueqiu.com/s/MU]
9. 苹果 [URL:https://xueqiu.com/s/AAPL]
10. 小米集团-W [URL:https://xueqiu.com/s/01810]
11. Circle [URL:https://xueqiu.com/s/CRCL]
12. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
13. 礼来 [URL:https://xueqiu.com/s/LLY]
14. AMD [URL:https://xueqiu.com/s/AMD]
15. 易点天下 [URL:https://xueqiu.com/s/SZ301171]
16. 拼多多 [URL:https://xueqiu.com/s/PDD]
17. 赛微电子 [URL:https://xueqiu.com/s/SZ300456]
18. 纳指100ETF-Invesco [URL:https://xueqiu.com/s/QQQ]
19. Meta [URL:https://xueqiu.com/s/META]
20. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
21. 蓝色光标 [URL:https://xueqiu.com/s/SZ300058]
22. 微软 [URL:https://xueqiu.com/s/MSFT]
23. 上海电力 [URL:https://xueqiu.com/s/SH600021]
24. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
25. 英特尔 [URL:https://xueqiu.com/s/INTC]
26. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
27. 台积电 [URL:https://xueqiu.com/s/TSM]
28. 淳中科技 [URL:https://xueqiu.com/s/SH603516]
29. 中际旭创 [URL:https://xueqiu.com/s/SZ300308]
30. 铜陵有色 [URL:https://xueqiu.com/s/SZ000630]

