xueqiu | 雪球
1. 阿里巴巴 [URL:https://xueqiu.com/s/BABA]
2. 英伟达 [URL:https://xueqiu.com/s/NVDA]
3. 阿特斯太阳能 [URL:https://xueqiu.com/s/CSIQ]
4. 美光科技 [URL:https://xueqiu.com/s/MU]
5. 特斯拉 [URL:https://xueqiu.com/s/TSLA]
6. SanDisk [URL:https://xueqiu.com/s/SNDK]
7. 拼多多 [URL:https://xueqiu.com/s/PDD]
8. 阿里巴巴-W [URL:https://xueqiu.com/s/09988]
9. 中概互联网指数ETF-KraneShares [URL:https://xueqiu.com/s/KWEB]
10. 江波龙 [URL:https://xueqiu.com/s/SZ301308]
11. 胜宏科技 [URL:https://xueqiu.com/s/SZ300476]
12. 阿特斯 [URL:https://xueqiu.com/s/SH688472]
13. 兆易创新 [URL:https://xueqiu.com/s/SH603986]
14. 工业富联 [URL:https://xueqiu.com/s/SH601138]
15. 小鹏汽车 [URL:https://xueqiu.com/s/XPEV]
16. 上海电力 [URL:https://xueqiu.com/s/SH600021]
17. 腾讯控股 [URL:https://xueqiu.com/s/00700]
18. 京东 [URL:https://xueqiu.com/s/JD]
19. 合富中国 [URL:https://xueqiu.com/s/SH603122]
20. 宁德时代 [URL:https://xueqiu.com/s/SZ300750]
21. 华盛锂电 [URL:https://xueqiu.com/s/SH688353]
22. 谷歌A [URL:https://xueqiu.com/s/GOOGL]
23. 平潭发展 [URL:https://xueqiu.com/s/SZ000592]
24. 天际股份 [URL:https://xueqiu.com/s/SZ002759]
25. 隆基绿能 [URL:https://xueqiu.com/s/SH601012]
26. 多氟多 [URL:https://xueqiu.com/s/SZ002407]
27. 电投能源 [URL:https://xueqiu.com/s/SZ002128]
28. 小米集团-W [URL:https://xueqiu.com/s/01810]
29. 苹果 [URL:https://xueqiu.com/s/AAPL]
30. 海科新源 [URL:https://xueqiu.com/s/SZ301292]

